Name,Health,Skill Check,Movement Speed,Stamina,Stealth,Extraction Speed,Light Emitting?,Ichor Immune?,Ability 1,Ability 2,Requirement 1,Requirement 2,Requirement 3,Twisted Research
Astro,♥ ♥,★ ★,★ ★ ★,★ ★ ★,★ ★ ★ ★ ★,★ ★ ★,Yes,No,Nap Time (Active): This Toon can create a pulse that fully restores the Stamina of the Toons around him. Has a cooldown of 60 seconds.,Well Rested (Passive): This Toon regenerates stamina 50% faster; and can see the location of Toons who have below 50% stamina; along with revealing the exact amount of stamina they have in a percentage.,5000 Ichor,100% Research on Twisted Astro,Encounter Twisted Dandy,One of the Main Characters of Dandy's World. Overwhelmed by guilt and despair; this Twisted puts his grief on others. If you fail a Skill Check while on a machine and hide from him; Astro will steal completion from that Machine. Skill Check carefully!
Bassie,♥ ♥,★,★ ★ ★ ★ ★,★ ★ ★ ★,★ ★ ★ ★,★ ★,No,No,Springful Sharing (Active): This Toon can drop items from her inventory; sharing them with other Toons.,Easter Basket (Passive): This Toon's basket provides her with an extra inventory slot for carrying 1 extra item.,3000  Baskets,2500  Ichor,100% research on  Twisted Bassie,One of the Holiday Main Characters of Dandy's World. The fear of never living up to others' expectations caused her to act out of desperation . When occupying a floor; this twisted grows ichor-drenched flower that slow those too close to them; allowing her or fellow twisteds a better chance to catch their target.
Blot,♥ ♥ ♥,★,★ ★ ★ ★,★ ★ ★ ★ ★,★ ★ ★,★ ★,No,Yes,Blot Jr. (Active): This Toon places a decoy that attracts nearby Twisteds and has 1 Heart. This ability costs 10 Tapes and has a cooldown of 60 seconds. For each extra Blot on a team the cost of the decoy costs an additional 10 tapes.,,3000,Complete all Mastery Quests on  Looey,Complete all Mastery Quests on  Yatta,This silent Twisted conserves its energy by staying in one place. When his arms vanish underground; colossal hands emerge elsewhere; striking any Toon who dares approach.
Bobette,♥ ♥,★ ★ ★ ★,★ ★ ★,★ ★ ★ ★ ★,★ ★,★ ★,No,No,Precious Packaging (Active): This Toon can duck and cover herself into a gift box for 8 seconds; in which she is invincible yet unable to move. Has a Cooldown of 90 while a bar is above you to give you more time to react.,Festive Aura (Passive): The festive aura of this Toon passively gives those around her 50% faster stamina regeneration and a 25% speed boost for 5 seconds.,3000  Ornaments,2500  Ichor,100% research on Twisted Bobette,One of the Holiday Main Characters of Dandy's World. Created to craft toys for everyone has left her envious. If not preoccupied she will break into full sprint at the sound of picking up an item in hopes of catching whoever she finds greedy. Be mindful; her speeds are hard to escape.
Boxten,♥ ♥ ♥,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,★ ★ ★,No,No,Wind-up (Passive): This Toon gains 6% more Extraction Speed for every alive Toon in the round. Maxes at 48%.,,A: Free if chosen when starting the game,,,One of the most common Twisteds you'll encounter. Overcome by Ichor; this Twisted has the innate urge to chase others down. Thankfully; it appears that this Twisted doesn't have any abilities to aid him.
Brightney,♥︎ ♥︎ ♥︎,★ ★ ★,★ ★ ★,★ ★ ★ ★,★,★ ★ ★ ★,Yes,No,Night Light (Active): This Toon can shine lights on Twisteds to make them visible during Blackouts for 8 seconds. Has a Cooldown of 45.,,1250,Experience 5 Blackouts,,A more uncommon Twisted; Brightney uses her knowledge and cunning to tamper with the lighting system; increasing the chance of a Blackout occuring on the Floor she resides in. Be sure to come prepared if this happens!
Brusha,♥ ♥ ♥,★ ★ ★ ★,★ ★ ★,★ ★ ★,★ ★,★ ★ ★,No,No,Artistic Inspiration (Toggle): Enter Painting Mode to inspire nearby Toons with a 50% Skill Check boost while they remain in your circle. This Toon moves 25% slower while in Painting Mode. Has a cooldown of 5.,,1250,25% Research on  Twisted Brusha,,This commonly seen Twisted has a sharp eye. Overcome with Ichor; Brusha's strong vision gives her greater range than other Twisteds.
Coal,♥ ♥ ♥,★ ★,★ ★ ★ ★,★ ★ ★ ★,★ ★ ★,★ ★,No,No,Scout (Active): Outlines every item on the floor for teammates to see for 10 seconds. Has a cooldown of 30,,1500  Ornaments,Own 15 or more Trinkets,,This Twisted is not difficult to deal with in most scenarios; though within the event of a blackout she will be a dangerous encounter that may lead to one's early demise. With heightened speed; it's best to steer clear of her in the dark.
Cocoa,♥ ♥ ♥,★ ★ ★,★ ★ ★ ★,★ ★,★ ★ ★ ★,★ ★,No,No,Bonbon (Active): This Toon places a Bonbon on the ground. When consumed; the Bonbon gives +50% Extraction Speed and +25% Movement Speed to the user for 10 seconds. Has a Cooldown of 40.,,1500  Baskets,Gain 100% research on 5 Twisteds,,Don't underestimate this twisted. While often patrolling the room at a slower pace; once she has her sight on someone; she will quickly speed up by hopping towards her prey but when out of sight; she will almost straight away slow down.
Connie,♥︎ ♥︎ ♥︎,★ ★,★,★ ★ ★,★ ★ ★ ★ ★,★ ★ ★ ★,Yes,Yes,Haunting Escape (Active): This Toon uses her ability to become invisible for 5 seconds. Twisteds will not be able to notice her during this time; unless she is up against a Lethal Twisted which will still see her.,,2000,50% research on Twisted Connie,,A more uncommon Twisted; Connie prefers to spend her time alone focused on possessing Ichor Machines. This activity fills her sense of purpose within Gardenview. When roaming she is harmless; though if disturbed while busy possessing a machine she becomes aggressive and will attack; remember she can't possess a machine forever.
