Weapon,Weapon 1,Weapon 2,Weapon type,Description
Absolute Wall,Bounce Ball,Cutting Board,"Melee",Summon forth the Great Wall of Hololive. Has a small chance to protect from projectiles.
BL Fujoshi,BL Book,Psycho Axe,Melee,"Endless BL, how shameless!"
Black Plague,EN's Curse,Owl Dagger,Melee,A historically deadly disease that continuously spreads to any targets nearby. Has a very small chance to defeat a target instantly.
Blood Lust,Owl Dagger,Psycho Axe,Melee,Two powerful murderous forces combine.
Bone Bros.,Cutting Board,EN's Curse,Multishot,Don't bite the hand that feeds you if it's holding a knife.
Breathe-In Type Asacoco,Holo Bomb,Plug Type Asacoco,Multishot,Limited time only for 5000 yen!!!
Broken Dreams,CEO's Tears,Spider Cooking,Multishot,The dream is dead and there is no hope. Bubble Shield also slows targets.
Crescent Bardiche,Idol Song,Psycho Axe,Melee,"A large bardiche that deals high critical damage, and summons falling stars."
Curse Ball,Bounce Ball,EN's Curse,Ranged,"Play ball! The more you play, the longer it stays."
Dragon Fire,Fan Beam,Plug Type Asacoco,Multishot,The power of a once LEGENDARY Dragon. The OG.
Eldritch Horror,EN's Curse,Spider Cooking,Ranged,Summons unknown horrors. May Life-steal up to 5% HP from targets defeated in whirlpool.
Elite Cooking,Elite Lava Bucket,Spider Cooking,Ranged,May have severe unknown side effects if consumed.
Flattening Board,Cutting Board,Holo Bomb,Multishot,Feel the wrath of cutting boards...!?
Frozen Sea,BL Book,Wamy Water,Multishot,Endless waves of ice that slows targets.
"I'm Die, Thank You Forever",Holo Bomb,X-Potato,Ranged,"Throw a Bomb that attaches to a target. When target is defeated, the bomb explodes."
Idol Concert,Glowstick,Idol Song,Ranged,Throw glowstick in all directions that explode into song!
Legendary Sausage,BL Book,Sausage,Melee,A continuously spinning sausage. Spins faster as you move.
Light Beam,Fan Beam,Glowstick,Multishot,Throw glowsticks that explode into targeted beams!
Lightning Wiener,Plug Type Asacoco,Sausage,Multishot,"Shoots Lightning charged weiners that home into targets, and summons lightning to strike down when hit."
MiComet,Elite Lava Bucket,Psycho Axe,Ranged,Real business partners.
MiKorone,Elite Lava Bucket,X-Potato,Multishot,"Burning hot potatos fall, and targets hit by it leave lava pools as they move."
Rap Dog,Idol Song,X-Potato,Ranged,Drop some HOT BEATS where targets hit take 20% more damage.
Ring Of Fitness,Bounce Ball,CEO's Tears,Multishot,Continuously throw a ring of fitness balls. Hope nobody walks in.
Snow Flower Sake,Glowstick,Wamy Water,Multishot,Throw a bottle that shatters into a Snowflake. Has a 30% chance to cause Frozen.
Stream Of Tears,CEO's Tears,Fan Beam,Ranged,Nothing can stop the stream of tears.
Holy Fire,Dragon Fire,Gorilla's Paw,Multishot,Spits flames which contain the strength of 50kg(?). All attack damage is also multiplied by 1.3 times.
Idol Live,Idol Concert,Idol Costume,Ranged,"Put on a Special Live! Reduce Special cooldown by 30%. Whenever activating the Special, increase all stats by 50% for 10 seconds (can only activate once per 30 seconds)."
Jingisukan,Elite Cooking,Uber Sheep,Ranged,Throws delicious grilled lamb all around. Standing inside the Jingisukan areas heals 3 HP per second (Considered as Food heal). Also increase Max HP by 50.
Snow Queen,Snow Flower Sake,Sake,Ranged,"Freeze everything around, dealing constant damage. Also increases Crit chance by 20%."
True Infinite BL Works,BL Fujoshi,Hope Soda,Melee,Has a 20% bonus Crit chance. Also increase critical hit damage by 30%.
